simulation_id,round,mechanism_type,crop_id,crop_name,allocation_pct,actual_yield,total_allocation
PDD_sim1,9,PDD,0,Wheat,0.2,9.29,257
PDD_sim1,9,PDD,1,Corn,0.109,8.39,141
PDD_sim1,9,PDD,2,Rice,0.433,5.46,558
PDD_sim1,9,PDD,3,Potatoes,0.025,8.46,31
PDD_sim1,9,PDD,4,Soybeans,0.233,2.05,300
PDD_sim1,10,PDD,0,Wheat,0.069,8.02,90
PDD_sim1,10,PDD,1,Corn,0.646,9.16,840
PDD_sim1,10,PDD,2,Rice,0.108,3.98,140
PDD_sim1,10,PDD,3,Potatoes,0.114,5.11,148
PDD_sim1,10,PDD,4,Soybeans,0.063,4.38,81
PDD_sim1,11,PDD,0,Wheat,0.229,9.1,309
PDD_sim1,11,PDD,1,Corn,0.072,7.64,97
PDD_sim1,11,PDD,2,Rice,0.317,1.91,429
PDD_sim1,11,PDD,3,Potatoes,0.137,3.92,185
PDD_sim1,11,PDD,4,Soybeans,0.245,5.77,331
PDD_sim1,12,PDD,0,Wheat,0.35,9.75,479
PDD_sim1,12,PDD,1,Corn,0.048,6.41,65
PDD_sim1,12,PDD,2,Rice,0.186,4.53,254
PDD_sim1,12,PDD,3,Potatoes,0.194,10.28,265
PDD_sim1,12,PDD,4,Soybeans,0.223,4.68,305
PDD_sim1,13,PDD,0,Wheat,0.033,8.25,46
PDD_sim1,13,PDD,1,Corn,0.101,5.8,141
PDD_sim1,13,PDD,2,Rice,0.194,7.96,270
PDD_sim1,13,PDD,3,Potatoes,0.204,4.43,284
PDD_sim1,13,PDD,4,Soybeans,0.467,3.87,649
PDD_sim1,14,PDD,0,Wheat,0.125,6.74,181
PDD_sim1,14,PDD,1,Corn,0.213,8.1,311
PDD_sim1,14,PDD,2,Rice,0.247,6.86,359
PDD_sim1,14,PDD,3,Potatoes,0.058,6.46,84
PDD_sim1,14,PDD,4,Soybeans,0.357,7.07,519
PDD_sim1,15,PDD,0,Wheat,0.374,7.2,547
PDD_sim1,15,PDD,1,Corn,0.112,5.57,164
PDD_sim1,15,PDD,2,Rice,0.083,2.11,122
PDD_sim1,15,PDD,3,Potatoes,0.355,4.03,519
PDD_sim1,15,PDD,4,Soybeans,0.074,4.83,108
PDD_sim1,16,PDD,0,Wheat,0.241,9.29,359
PDD_sim1,16,PDD,1,Corn,0.158,6.06,236
PDD_sim1,16,PDD,2,Rice,0.246,4.2,366
PDD_sim1,16,PDD,3,Potatoes,0.134,7.49,200
PDD_sim1,16,PDD,4,Soybeans,0.221,4.75,329
PDD_sim1,17,PDD,0,Wheat,0.233,8.08,379
PDD_sim1,17,PDD,1,Corn,0.295,6.94,481
PDD_sim1,17,PDD,2,Rice,0.148,9.78,240
PDD_sim1,17,PDD,3,Potatoes,0.091,7.37,148
PDD_sim1,17,PDD,4,Soybeans,0.233,6.45,380
PDD_sim1,18,PDD,0,Wheat,0.116,8.41,185
PDD_sim1,18,PDD,1,Corn,0.011,5.56,18
PDD_sim1,18,PDD,2,Rice,0.393,5.27,629
PDD_sim1,18,PDD,3,Potatoes,0.109,4.76,175
PDD_sim1,18,PDD,4,Soybeans,0.371,2.83,593
PDD_sim1,19,PDD,0,Wheat,0.228,9.6,376
PDD_sim1,19,PDD,1,Corn,0.088,6.57,145
PDD_sim1,19,PDD,2,Rice,0.179,5.28,296
PDD_sim1,19,PDD,3,Potatoes,0.255,2.83,421
PDD_sim1,19,PDD,4,Soybeans,0.251,3.26,414
PDD_sim1,20,PDD,0,Wheat,0.214,8.66,368
PDD_sim1,20,PDD,1,Corn,0.302,5.1,520
PDD_sim1,20,PDD,2,Rice,0.147,6.56,252
PDD_sim1,20,PDD,3,Potatoes,0.239,3.07,412
PDD_sim1,20,PDD,4,Soybeans,0.098,5.52,168
PDD_sim1,21,PDD,0,Wheat,0.439,8.65,759
PDD_sim1,21,PDD,1,Corn,0.073,7.03,125
PDD_sim1,21,PDD,2,Rice,0.177,0.36,307
PDD_sim1,21,PDD,3,Potatoes,0.22,6.57,380
PDD_sim1,21,PDD,4,Soybeans,0.091,4.95,157
PDD_sim1,22,PDD,0,Wheat,0.346,7.93,610
PDD_sim1,22,PDD,1,Corn,0.347,9.18,612
PDD_sim1,22,PDD,2,Rice,0.15,3.53,264
PDD_sim1,22,PDD,3,Potatoes,0.142,4.38,250
PDD_sim1,22,PDD,4,Soybeans,0.015,3.23,26
PDD_sim1,23,PDD,0,Wheat,0.141,7.74,265
PDD_sim1,23,PDD,1,Corn,0.31,4.61,584
PDD_sim1,23,PDD,2,Rice,0.027,3.52,50
PDD_sim1,23,PDD,3,Potatoes,0.314,6.3,593
PDD_sim1,23,PDD,4,Soybeans,0.208,7.85,392
PDD_sim1,24,PDD,0,Wheat,0.164,7.06,318
PDD_sim1,24,PDD,1,Corn,0.061,8.74,118
PDD_sim1,24,PDD,2,Rice,0.289,4.94,562
PDD_sim1,24,PDD,3,Potatoes,0.173,2.34,336
PDD_sim1,24,PDD,4,Soybeans,0.313,6.36,609
PDD_sim1,25,PDD,0,Wheat,0.161,8.59,298
PDD_sim1,25,PDD,1,Corn,0.358,7.93,665
PDD_sim1,25,PDD,2,Rice,0.073,1.18,135
PDD_sim1,25,PDD,3,Potatoes,0.346,5.19,642
PDD_sim1,25,PDD,4,Soybeans,0.063,4.06,116
PDD_sim1,26,PDD,0,Wheat,0.089,7.84,172
PDD_sim1,26,PDD,1,Corn,0.205,9.11,399
PDD_sim1,26,PDD,2,Rice,0.482,3.38,936
PDD_sim1,26,PDD,3,Potatoes,0.146,4.43,283
PDD_sim1,26,PDD,4,Soybeans,0.079,5.59,152
PDD_sim1,27,PDD,0,Wheat,0.117,7.52,243
PDD_sim1,27,PDD,1,Corn,0.194,5.76,405
PDD_sim1,27,PDD,2,Rice,0.361,3.63,754
PDD_sim1,27,PDD,3,Potatoes,0.16,2.3,335
PDD_sim1,27,PDD,4,Soybeans,0.168,4.85,352
PDD_sim1,28,PDD,0,Wheat,0.021,8.87,41
PDD_sim1,28,PDD,1,Corn,0.073,4.47,146
PDD_sim1,28,PDD,2,Rice,0.128,4.37,256
PDD_sim1,28,PDD,3,Potatoes,0.531,4.52,1064
PDD_sim1,28,PDD,4,Soybeans,0.247,6.17,494
PDD_sim1,29,PDD,0,Wheat,0.196,7.23,426
PDD_sim1,29,PDD,1,Corn,0.251,9.41,544
PDD_sim1,29,PDD,2,Rice,0.314,5.45,682
PDD_sim1,29,PDD,3,Potatoes,0.06,6.27,130
PDD_sim1,29,PDD,4,Soybeans,0.179,3.36,388
PDD_sim1,30,PDD,0,Wheat,0.068,6.62,139
PDD_sim1,30,PDD,1,Corn,0.211,4.82,432
PDD_sim1,30,PDD,2,Rice,0.121,5.76,248
PDD_sim1,30,PDD,3,Potatoes,0.479,4.11,980
PDD_sim1,30,PDD,4,Soybeans,0.121,3.2,247
PRD_sim1,1,PRD,0,Wheat,0.244,6.73,248
PRD_sim1,1,PRD,1,Corn,0.193,7.32,196
PRD_sim1,1,PRD,2,Rice,0.077,7.13,78
PRD_sim1,1,PRD,3,Potatoes,0.103,4.25,104
PRD_sim1,1,PRD,4,Soybeans,0.382,7.7,389
PRD_sim1,2,PRD,0,Wheat,0.426,7.93,414
PRD_sim1,2,PRD,1,Corn,0.194,5.71,188
PRD_sim1,2,PRD,2,Rice,0.081,4.0,79
PRD_sim1,2,PRD,3,Potatoes,0.063,2.99,61
PRD_sim1,2,PRD,4,Soybeans,0.235,4.9,228
PRD_sim1,3,PRD,0,Wheat,0.091,8.98,94
PRD_sim1,3,PRD,1,Corn,0.303,4.9,312
PRD_sim1,3,PRD,2,Rice,0.239,6.17,246
PRD_sim1,3,PRD,3,Potatoes,0.112,4.59,115
PRD_sim1,3,PRD,4,Soybeans,0.255,5.17,262
PRD_sim1,4,PRD,0,Wheat,0.114,7.08,136
PRD_sim1,4,PRD,1,Corn,0.065,8.0,78
PRD_sim1,4,PRD,2,Rice,0.371,7.12,443
PRD_sim1,4,PRD,3,Potatoes,0.304,5.4,363
PRD_sim1,4,PRD,4,Soybeans,0.146,5.96,174
PRD_sim1,5,PRD,0,Wheat,0.269,7.71,324
PRD_sim1,5,PRD,1,Corn,0.22,9.18,264
PRD_sim1,5,PRD,2,Rice,0.112,8.06,135
PRD_sim1,5,PRD,3,Potatoes,0.163,4.84,196
PRD_sim1,5,PRD,4,Soybeans,0.236,2.98,283
PRD_sim1,6,PRD,0,Wheat,0.015,8.14,17
PRD_sim1,6,PRD,1,Corn,0.217,7.42,248
PRD_sim1,6,PRD,2,Rice,0.012,8.72,13
PRD_sim1,6,PRD,3,Potatoes,0.56,6.94,641
PRD_sim1,6,PRD,4,Soybeans,0.195,5.17,223
PRD_sim1,7,PRD,0,Wheat,0.155,8.71,191
PRD_sim1,7,PRD,1,Corn,0.02,11.67,24
PRD_sim1,7,PRD,2,Rice,0.332,6.62,408
PRD_sim1,7,PRD,3,Potatoes,0.186,3.3,229
PRD_sim1,7,PRD,4,Soybeans,0.307,4.15,377
PRD_sim1,8,PRD,0,Wheat,0.148,8.06,187
PRD_sim1,8,PRD,1,Corn,0.089,7.43,113
PRD_sim1,8,PRD,2,Rice,0.104,3.89,132
PRD_sim1,8,PRD,3,Potatoes,0.167,5.04,212
PRD_sim1,8,PRD,4,Soybeans,0.491,6.57,623
PRD_sim1,9,PRD,0,Wheat,0.109,6.77,137
PRD_sim1,9,PRD,1,Corn,0.351,7.02,442
PRD_sim1,9,PRD,2,Rice,0.094,2.48,118
PRD_sim1,9,PRD,3,Potatoes,0.052,5.98,66
PRD_sim1,9,PRD,4,Soybeans,0.394,6.98,497
PRD_sim1,10,PRD,0,Wheat,0.234,6.39,310
PRD_sim1,10,PRD,1,Corn,0.139,9.44,184
PRD_sim1,10,PRD,2,Rice,0.193,5.77,255
PRD_sim1,10,PRD,3,Potatoes,0.303,6.0,401
PRD_sim1,10,PRD,4,Soybeans,0.132,1.62,174
PRD_sim1,11,PRD,0,Wheat,0.212,8.35,286
PRD_sim1,11,PRD,1,Corn,0.119,6.51,161
PRD_sim1,11,PRD,2,Rice,0.024,6.48,32
PRD_sim1,11,PRD,3,Potatoes,0.238,5.26,321
PRD_sim1,11,PRD,4,Soybeans,0.406,1.03,549
PRD_sim1,12,PRD,0,Wheat,0.368,7.56,496
PRD_sim1,12,PRD,1,Corn,0.139,4.56,188
PRD_sim1,12,PRD,2,Rice,0.06,3.46,80
PRD_sim1,12,PRD,3,Potatoes,0.241,6.78,324
PRD_sim1,12,PRD,4,Soybeans,0.192,8.18,259
PRD_sim1,13,PRD,0,Wheat,0.258,8.96,377
PRD_sim1,13,PRD,1,Corn,0.167,10.49,244
PRD_sim1,13,PRD,2,Rice,0.33,4.97,482
PRD_sim1,13,PRD,3,Potatoes,0.066,6.01,97
PRD_sim1,13,PRD,4,Soybeans,0.179,5.17,262
PRD_sim1,14,PRD,0,Wheat,0.121,8.31,178
PRD_sim1,14,PRD,1,Corn,0.349,7.19,516
PRD_sim1,14,PRD,2,Rice,0.178,6.61,263
PRD_sim1,14,PRD,3,Potatoes,0.147,3.8,217
PRD_sim1,14,PRD,4,Soybeans,0.205,5.12,303
PRD_sim1,15,PRD,0,Wheat,0.086,6.93,136
PRD_sim1,15,PRD,1,Corn,0.31,7.12,489
PRD_sim1,15,PRD,2,Rice,0.22,4.04,347
PRD_sim1,15,PRD,3,Potatoes,0.205,10.08,324
PRD_sim1,15,PRD,4,Soybeans,0.178,4.92,280
PRD_sim1,16,PRD,0,Wheat,0.129,7.06,201
PRD_sim1,16,PRD,1,Corn,0.158,8.03,245
PRD_sim1,16,PRD,2,Rice,0.066,3.63,102
PRD_sim1,16,PRD,3,Potatoes,0.265,4.45,412
PRD_sim1,16,PRD,4,Soybeans,0.383,4.97,596
PRD_sim1,17,PRD,0,Wheat,0.177,8.73,291
PRD_sim1,17,PRD,1,Corn,0.17,6.33,280
PRD_sim1,17,PRD,2,Rice,0.21,3.88,347
PRD_sim1,17,PRD,3,Potatoes,0.22,6.26,362
PRD_sim1,17,PRD,4,Soybeans,0.224,3.75,369
PRD_sim1,18,PRD,0,Wheat,0.136,8.42,223
PRD_sim1,18,PRD,1,Corn,0.398,5.7,653
PRD_sim1,18,PRD,2,Rice,0.339,4.98,555
PRD_sim1,18,PRD,3,Potatoes,0.065,5.27,106
PRD_sim1,18,PRD,4,Soybeans,0.062,10.84,101
PRD_sim1,19,PRD,0,Wheat,0.226,7.85,399
PRD_sim1,19,PRD,1,Corn,0.093,5.51,164
PRD_sim1,19,PRD,2,Rice,0.244,3.89,430
PRD_sim1,19,PRD,3,Potatoes,0.265,2.7,467
PRD_sim1,19,PRD,4,Soybeans,0.172,5.51,304
PRD_sim1,20,PRD,0,Wheat,0.347,8.23,613
PRD_sim1,20,PRD,1,Corn,0.057,8.56,101
PRD_sim1,20,PRD,2,Rice,0.385,1.09,680
PRD_sim1,20,PRD,3,Potatoes,0.016,4.26,28
PRD_sim1,20,PRD,4,Soybeans,0.196,5.43,346
PRD_sim1,21,PRD,0,Wheat,0.058,7.66,101
PRD_sim1,21,PRD,1,Corn,0.398,6.12,693
PRD_sim1,21,PRD,2,Rice,0.197,4.3,342
PRD_sim1,21,PRD,3,Potatoes,0.08,5.53,139
PRD_sim1,21,PRD,4,Soybeans,0.267,4.69,464
PRD_sim1,22,PRD,0,Wheat,0.172,8.06,321
PRD_sim1,22,PRD,1,Corn,0.373,7.54,698
PRD_sim1,22,PRD,2,Rice,0.094,6.01,174
PRD_sim1,22,PRD,3,Potatoes,0.216,5.58,404
PRD_sim1,22,PRD,4,Soybeans,0.144,3.99,269
PRD_sim1,23,PRD,0,Wheat,0.22,8.42,410
PRD_sim1,23,PRD,1,Corn,0.111,7.8,207
PRD_sim1,23,PRD,2,Rice,0.282,8.67,525
PRD_sim1,23,PRD,3,Potatoes,0.148,3.53,276
PRD_sim1,23,PRD,4,Soybeans,0.238,8.33,442
PRD_sim1,24,PRD,0,Wheat,0.191,7.69,359
PRD_sim1,24,PRD,1,Corn,0.066,8.46,124
PRD_sim1,24,PRD,2,Rice,0.231,4.97,434
PRD_sim1,24,PRD,3,Potatoes,0.115,3.8,215
PRD_sim1,24,PRD,4,Soybeans,0.397,1.88,748
PRD_sim1,25,PRD,0,Wheat,0.379,6.87,759
PRD_sim1,25,PRD,1,Corn,0.291,7.92,583
PRD_sim1,25,PRD,2,Rice,0.09,1.55,180
PRD_sim1,25,PRD,3,Potatoes,0.136,1.05,272
PRD_sim1,25,PRD,4,Soybeans,0.105,3.5,209
PRD_sim1,26,PRD,0,Wheat,0.269,8.73,555
PRD_sim1,26,PRD,1,Corn,0.238,5.0,491
PRD_sim1,26,PRD,2,Rice,0.11,6.45,226
PRD_sim1,26,PRD,3,Potatoes,0.269,7.58,555
PRD_sim1,26,PRD,4,Soybeans,0.115,10.18,238
PRD_sim1,27,PRD,0,Wheat,0.106,8.66,218
PRD_sim1,27,PRD,1,Corn,0.531,7.42,1092
PRD_sim1,27,PRD,2,Rice,0.077,7.71,158
PRD_sim1,27,PRD,3,Potatoes,0.099,6.65,203
PRD_sim1,27,PRD,4,Soybeans,0.187,7.45,385
PRD_sim1,28,PRD,0,Wheat,0.229,8.56,462
PRD_sim1,28,PRD,1,Corn,0.069,6.69,139
PRD_sim1,28,PRD,2,Rice,0.059,4.37,119
PRD_sim1,28,PRD,3,Potatoes,0.268,6.72,541
PRD_sim1,28,PRD,4,Soybeans,0.375,6.11,756
PRD_sim1,29,PRD,0,Wheat,0.175,9.23,381
PRD_sim1,29,PRD,1,Corn,0.451,6.61,981
PRD_sim1,29,PRD,2,Rice,0.112,3.69,243
PRD_sim1,29,PRD,3,Potatoes,0.09,4.64,195
PRD_sim1,29,PRD,4,Soybeans,0.173,7.74,376
PRD_sim1,30,PRD,0,Wheat,0.145,7.3,312
PRD_sim1,30,PRD,1,Corn,0.24,6.19,519
PRD_sim1,30,PRD,2,Rice,0.398,4.49,859
PRD_sim1,30,PRD,3,Potatoes,0.147,5.51,318
PRD_sim1,30,PRD,4,Soybeans,0.07,7.39,150
PLD_sim1,1,PLD,0,Wheat,0.127,8.43,137
PLD_sim1,1,PLD,1,Corn,0.164,8.5,177
PLD_sim1,1,PLD,2,Rice,0.187,3.2,202
PLD_sim1,1,PLD,3,Potatoes,0.427,5.52,463
PLD_sim1,1,PLD,4,Soybeans,0.095,4.95,103
PLD_sim1,2,PLD,0,Wheat,0.16,8.36,172
PLD_sim1,2,PLD,1,Corn,0.121,6.19,130
PLD_sim1,2,PLD,2,Rice,0.393,6.79,422
PLD_sim1,2,PLD,3,Potatoes,0.081,1.74,87
PLD_sim1,2,PLD,4,Soybeans,0.245,3.19,263
PLD_sim1,3,PLD,0,Wheat,0.237,7.51,271
PLD_sim1,3,PLD,1,Corn,0.31,9.38,355
PLD_sim1,3,PLD,2,Rice,0.13,2.52,148
PLD_sim1,3,PLD,3,Potatoes,0.254,2.75,291
PLD_sim1,3,PLD,4,Soybeans,0.068,2.81,78
PLD_sim1,4,PLD,0,Wheat,0.17,7.85,192
PLD_sim1,4,PLD,1,Corn,0.158,8.26,179
PLD_sim1,4,PLD,2,Rice,0.116,5.05,131
PLD_sim1,4,PLD,3,Potatoes,0.265,7.7,299
PLD_sim1,4,PLD,4,Soybeans,0.292,1.97,330
PLD_sim1,5,PLD,0,Wheat,0.1,8.8,121
PLD_sim1,5,PLD,1,Corn,0.03,6.06,35
PLD_sim1,5,PLD,2,Rice,0.383,5.39,464
PLD_sim1,5,PLD,3,Potatoes,0.396,5.12,480
PLD_sim1,5,PLD,4,Soybeans,0.091,3.38,110
PLD_sim1,6,PLD,0,Wheat,0.093,7.59,108
PLD_sim1,6,PLD,1,Corn,0.041,6.21,48
PLD_sim1,6,PLD,2,Rice,0.197,3.95,230
PLD_sim1,6,PLD,3,Potatoes,0.301,3.47,351
PLD_sim1,6,PLD,4,Soybeans,0.369,6.75,432
PLD_sim1,7,PLD,0,Wheat,0.109,7.91,134
PLD_sim1,7,PLD,1,Corn,0.318,6.74,393
PLD_sim1,7,PLD,2,Rice,0.124,0.19,153
PLD_sim1,7,PLD,3,Potatoes,0.067,2.09,83
PLD_sim1,7,PLD,4,Soybeans,0.381,4.16,471
PLD_sim1,8,PLD,0,Wheat,0.055,7.05,76
PLD_sim1,8,PLD,1,Corn,0.333,8.13,464
PLD_sim1,8,PLD,2,Rice,0.259,4.56,361
PLD_sim1,8,PLD,3,Potatoes,0.248,2.3,346
PLD_sim1,8,PLD,4,Soybeans,0.105,8.54,146
PLD_sim1,9,PLD,0,Wheat,0.232,7.72,318
PLD_sim1,9,PLD,1,Corn,0.047,4.03,64
PLD_sim1,9,PLD,2,Rice,0.546,4.46,749
PLD_sim1,9,PLD,3,Potatoes,0.067,4.98,91
PLD_sim1,9,PLD,4,Soybeans,0.108,8.17,147
PLD_sim1,10,PLD,0,Wheat,0.347,7.71,481
PLD_sim1,10,PLD,1,Corn,0.11,6.75,152
PLD_sim1,10,PLD,2,Rice,0.191,8.27,265
PLD_sim1,10,PLD,3,Potatoes,0.109,4.63,151
PLD_sim1,10,PLD,4,Soybeans,0.243,4.96,336
PLD_sim1,11,PLD,0,Wheat,0.112,8.43,166
PLD_sim1,11,PLD,1,Corn,0.353,9.11,526
PLD_sim1,11,PLD,2,Rice,0.178,2.58,265
PLD_sim1,11,PLD,3,Potatoes,0.172,2.18,255
PLD_sim1,11,PLD,4,Soybeans,0.185,4.73,275
PLD_sim1,12,PLD,0,Wheat,0.085,8.06,127
PLD_sim1,12,PLD,1,Corn,0.162,6.27,242
PLD_sim1,12,PLD,2,Rice,0.405,6.68,605
PLD_sim1,12,PLD,3,Potatoes,0.104,2.9,155
PLD_sim1,12,PLD,4,Soybeans,0.244,-0.06,365
PLD_sim1,13,PLD,0,Wheat,0.14,8.63,214
PLD_sim1,13,PLD,1,Corn,0.15,7.92,230
PLD_sim1,13,PLD,2,Rice,0.265,0.49,406
PLD_sim1,13,PLD,3,Potatoes,0.204,3.66,312
PLD_sim1,13,PLD,4,Soybeans,0.242,3.44,371
PLD_sim1,14,PLD,0,Wheat,0.1,9.62,156
PLD_sim1,14,PLD,1,Corn,0.309,6.76,482
PLD_sim1,14,PLD,2,Rice,0.124,10.0,193
PLD_sim1,14,PLD,3,Potatoes,0.251,2.89,391
PLD_sim1,14,PLD,4,Soybeans,0.216,4.29,337
PLD_sim1,15,PLD,0,Wheat,0.035,8.47,57
PLD_sim1,15,PLD,1,Corn,0.216,9.46,353
PLD_sim1,15,PLD,2,Rice,0.255,2.64,416
PLD_sim1,15,PLD,3,Potatoes,0.096,7.9,156
PLD_sim1,15,PLD,4,Soybeans,0.397,3.52,648
PLD_sim1,16,PLD,0,Wheat,0.386,10.02,649
PLD_sim1,16,PLD,1,Corn,0.182,7.35,306
PLD_sim1,16,PLD,2,Rice,0.027,4.11,45
PLD_sim1,16,PLD,3,Potatoes,0.251,5.67,422
PLD_sim1,16,PLD,4,Soybeans,0.153,4.14,257
PLD_sim1,17,PLD,0,Wheat,0.25,9.9,427
PLD_sim1,17,PLD,1,Corn,0.176,8.53,301
PLD_sim1,17,PLD,2,Rice,0.172,8.29,293
PLD_sim1,17,PLD,3,Potatoes,0.132,5.78,225
PLD_sim1,17,PLD,4,Soybeans,0.27,7.34,460
PLD_sim1,18,PLD,0,Wheat,0.073,8.22,120
PLD_sim1,18,PLD,1,Corn,0.521,7.75,859
PLD_sim1,18,PLD,2,Rice,0.113,4.32,185
PLD_sim1,18,PLD,3,Potatoes,0.03,3.23,50
PLD_sim1,18,PLD,4,Soybeans,0.262,7.32,432
PLD_sim1,19,PLD,0,Wheat,0.215,7.79,374
PLD_sim1,19,PLD,1,Corn,0.229,8.46,399
PLD_sim1,19,PLD,2,Rice,0.135,5.84,236
PLD_sim1,19,PLD,3,Potatoes,0.184,5.44,321
PLD_sim1,19,PLD,4,Soybeans,0.237,2.46,413
PLD_sim1,20,PLD,0,Wheat,0.181,7.22,337
PLD_sim1,20,PLD,1,Corn,0.283,6.95,528
PLD_sim1,20,PLD,2,Rice,0.175,3.13,327
PLD_sim1,20,PLD,3,Potatoes,0.265,2.63,494
PLD_sim1,20,PLD,4,Soybeans,0.096,4.83,178
PLD_sim1,21,PLD,0,Wheat,0.184,7.26,346
PLD_sim1,21,PLD,1,Corn,0.07,8.3,131
PLD_sim1,21,PLD,2,Rice,0.228,5.3,429
PLD_sim1,21,PLD,3,Potatoes,0.206,5.6,387
PLD_sim1,21,PLD,4,Soybeans,0.312,3.43,586
PLD_sim1,22,PLD,0,Wheat,0.21,6.07,394
PLD_sim1,22,PLD,1,Corn,0.309,6.4,580
PLD_sim1,22,PLD,2,Rice,0.194,8.2,363
PLD_sim1,22,PLD,3,Potatoes,0.098,6.13,184
PLD_sim1,22,PLD,4,Soybeans,0.189,8.55,353
PLD_sim1,23,PLD,0,Wheat,0.1,9.38,208
PLD_sim1,23,PLD,1,Corn,0.27,5.99,566
PLD_sim1,23,PLD,2,Rice,0.331,4.89,694
PLD_sim1,23,PLD,3,Potatoes,0.144,3.16,301
PLD_sim1,23,PLD,4,Soybeans,0.154,5.01,323
PLD_sim1,24,PLD,0,Wheat,0.038,9.18,82
PLD_sim1,24,PLD,1,Corn,0.4,10.11,868
PLD_sim1,24,PLD,2,Rice,0.111,7.57,240
PLD_sim1,24,PLD,3,Potatoes,0.181,-2.08,393
PLD_sim1,24,PLD,4,Soybeans,0.271,5.9,588
PLD_sim1,25,PLD,0,Wheat,0.177,7.44,385
PLD_sim1,25,PLD,1,Corn,0.34,4.76,738
PLD_sim1,25,PLD,2,Rice,0.172,7.51,374
PLD_sim1,25,PLD,3,Potatoes,0.112,4.0,242
PLD_sim1,25,PLD,4,Soybeans,0.198,2.46,428
PLD_sim1,26,PLD,0,Wheat,0.191,7.46,413
PLD_sim1,26,PLD,1,Corn,0.073,6.44,158
PLD_sim1,26,PLD,2,Rice,0.223,6.26,483
PLD_sim1,26,PLD,3,Potatoes,0.27,4.37,584
PLD_sim1,26,PLD,4,Soybeans,0.243,4.68,525
PLD_sim1,27,PLD,0,Wheat,0.168,8.09,372
PLD_sim1,27,PLD,1,Corn,0.179,5.45,397
PLD_sim1,27,PLD,2,Rice,0.103,6.71,228
PLD_sim1,27,PLD,3,Potatoes,0.336,5.8,744
PLD_sim1,27,PLD,4,Soybeans,0.214,5.79,474
PLD_sim1,28,PLD,0,Wheat,0.156,6.38,364
PLD_sim1,28,PLD,1,Corn,0.186,6.45,434
PLD_sim1,28,PLD,2,Rice,0.294,6.13,686
PLD_sim1,28,PLD,3,Potatoes,0.13,2.93,304
PLD_sim1,28,PLD,4,Soybeans,0.234,4.36,546
PLD_sim1,29,PLD,0,Wheat,0.011,8.58,24
PLD_sim1,29,PLD,1,Corn,0.222,9.12,506
PLD_sim1,29,PLD,2,Rice,0.192,3.74,438
PLD_sim1,29,PLD,3,Potatoes,0.404,5.2,922
PLD_sim1,29,PLD,4,Soybeans,0.172,5.68,392
PLD_sim1,30,PLD,0,Wheat,0.039,6.76,94
PLD_sim1,30,PLD,1,Corn,0.549,6.96,1334
PLD_sim1,30,PLD,2,Rice,0.116,0.46,283
